edgelength,slope
56.80607890119485,31.5762
192.5792049803974,31.5762
38.081881542933374,31.5762
14.967729639794547,31.5762
243.60373086579088,31.5762
53.42443423340959,31.5762
171.5195871465292,31.5762
70.23292768103047,31.5762
36.98287150195343,31.5762
46.60014887111692,31.5762
145.68818757887976,31.5762
65.17744836997434,31.5762
15.540774424072918,31.5762
64.75215353144695,31.5762
29.322915543986802,31.5762
31.55758287591294,31.5762
30.40234050201106,31.5762
23.276431025826597,31.5762
10.71448049370255,31.5762
142.28960595662932,31.5762
102.41307741812788,31.5762
84.94410350493646,31.5762
50.873183250204825,31.5762
49.618591255796346,31.5762
57.07497497512932,31.5762
56.60866854696718,31.5762
39.06374002627067,31.5762
