variable,coefficient,type,prefix,width,edge,period
C_node1node34_timber_t0,38.0,B,C,timber,,0
C_node1node34_timber_t1,31.99,B,C,timber,,1
C_node1node34_timber_t2,22.68,B,C,timber,,2
C_node1node34_timber_t3,16.08,B,C,timber,,3
C_node1node34_timber_t4,11.4,B,C,timber,,4
C_node1node34_timber_t5,8.08,B,C,timber,,5
C_node1node34_wide_t0,56.0,B,C,wide,,0
C_node1node34_wide_t1,47.15,B,C,wide,,1
C_node1node34_wide_t2,33.43,B,C,wide,,2
C_node1node34_wide_t3,23.7,B,C,wide,,3
C_node1node34_wide_t4,16.8,B,C,wide,,4
C_node1node34_wide_t5,11.91,B,C,wide,,5
C_node1node25_timber_t0,8138.0,B,C,timber,,0
C_node1node25_timber_t1,6851.98,B,C,timber,,1
C_node1node25_timber_t2,4857.5,B,C,timber,,2
C_node1node25_timber_t3,3443.57,B,C,timber,,3
C_node1node25_timber_t4,2441.21,B,C,timber,,4
C_node1node25_timber_t5,1730.62,B,C,timber,,5
C_node1node25_wide_t0,12208.0,B,C,wide,,0
C_node1node25_wide_t1,10278.81,B,C,wide,,1
C_node1node25_wide_t2,7286.84,B,C,wide,,2
C_node1node25_wide_t3,5165.78,B,C,wide,,3
C_node1node25_wide_t4,3662.12,B,C,wide,,4
C_node1node25_wide_t5,2596.14,B,C,wide,,5
C_node2node24_timber_t0,1205.0,B,C,timber,,0
C_node2node24_timber_t1,1014.58,B,C,timber,,1
C_node2node24_timber_t2,719.25,B,C,timber,,2
C_node2node24_timber_t3,509.89,B,C,timber,,3
C_node2node24_timber_t4,361.47,B,C,timber,,4
C_node2node24_timber_t5,256.25,B,C,timber,,5
C_node2node24_wide_t0,1805.0,B,C,wide,,0
C_node2node24_wide_t1,1519.76,B,C,wide,,1
C_node2node24_wide_t2,1077.39,B,C,wide,,2
C_node2node24_wide_t3,763.78,B,C,wide,,3
C_node2node24_wide_t4,541.46,B,C,wide,,4
C_node2node24_wide_t5,383.85,B,C,wide,,5
C_node2node17_timber_t0,1039.0,B,C,timber,,0
C_node2node17_timber_t1,874.81,B,C,timber,,1
C_node2node17_timber_t2,620.17,B,C,timber,,2
C_node2node17_timber_t3,439.65,B,C,timber,,3
C_node2node17_timber_t4,311.68,B,C,timber,,4
C_node2node17_timber_t5,220.95,B,C,timber,,5
C_node2node17_wide_t0,1557.0,B,C,wide,,0
C_node2node17_wide_t1,1310.95,B,C,wide,,1
C_node2node17_wide_t2,929.36,B,C,wide,,2
C_node2node17_wide_t3,658.84,B,C,wide,,3
C_node2node17_wide_t4,467.06,B,C,wide,,4
C_node2node17_wide_t5,331.11,B,C,wide,,5
C_node2node33_timber_t0,3385.0,B,C,timber,,0
C_node2node33_timber_t1,2850.08,B,C,timber,,1
C_node2node33_timber_t2,2020.47,B,C,timber,,2
C_node2node33_timber_t3,1432.35,B,C,timber,,3
C_node2node33_timber_t4,1015.42,B,C,timber,,4
C_node2node33_timber_t5,719.85,B,C,timber,,5
C_node2node33_wide_t0,5079.0,B,C,wide,,0
C_node2node33_wide_t1,4276.38,B,C,wide,,1
C_node2node33_wide_t2,3031.61,B,C,wide,,2
C_node2node33_wide_t3,2149.16,B,C,wide,,3
C_node2node33_wide_t4,1523.58,B,C,wide,,4
C_node2node33_wide_t5,1080.1,B,C,wide,,5
C_node2node54_timber_t0,0.0,B,C,timber,,0
C_node2node54_timber_t1,0.0,B,C,timber,,1
C_node2node54_timber_t2,0.0,B,C,timber,,2
C_node2node54_timber_t3,0.0,B,C,timber,,3
C_node2node54_timber_t4,0.0,B,C,timber,,4
C_node2node54_timber_t5,0.0,B,C,timber,,5
C_node2node54_wide_t0,0.0,B,C,wide,,0
C_node2node54_wide_t1,0.0,B,C,wide,,1
C_node2node54_wide_t2,0.0,B,C,wide,,2
C_node2node54_wide_t3,0.0,B,C,wide,,3
C_node2node54_wide_t4,0.0,B,C,wide,,4
C_node2node54_wide_t5,0.0,B,C,wide,,5
C_node3node14_timber_t0,554.0,B,C,timber,,0
C_node3node14_timber_t1,466.45,B,C,timber,,1
C_node3node14_timber_t2,330.68,B,C,timber,,2
C_node3node14_timber_t3,234.42,B,C,timber,,3
C_node3node14_timber_t4,166.19,B,C,timber,,4
C_node3node14_timber_t5,117.81,B,C,timber,,5
C_node3node14_wide_t0,832.0,B,C,wide,,0
C_node3node14_wide_t1,700.52,B,C,wide,,1
C_node3node14_wide_t2,496.61,B,C,wide,,2
C_node3node14_wide_t3,352.06,B,C,wide,,3
C_node3node14_wide_t4,249.58,B,C,wide,,4
C_node3node14_wide_t5,176.93,B,C,wide,,5
C_node3node22_timber_t0,789.0,B,C,timber,,0
C_node3node22_timber_t1,664.32,B,C,timber,,1
C_node3node22_timber_t2,470.95,B,C,timber,,2
C_node3node22_timber_t3,333.86,B,C,timber,,3
C_node3node22_timber_t4,236.68,B,C,timber,,4
C_node3node22_timber_t5,167.79,B,C,timber,,5
C_node3node22_wide_t0,1184.0,B,C,wide,,0
C_node3node22_wide_t1,996.9,B,C,wide,,1
C_node3node22_wide_t2,706.72,B,C,wide,,2
C_node3node22_wide_t3,501.01,B,C,wide,,3
C_node3node22_wide_t4,355.17,B,C,wide,,4
C_node3node22_wide_t5,251.79,B,C,wide,,5
C_node3node11_timber_t0,3355.0,B,C,timber,,0
C_node3node11_timber_t1,2824.82,B,C,timber,,1
C_node3node11_timber_t2,2002.57,B,C,timber,,2
C_node3node11_timber_t3,1419.66,B,C,timber,,3
C_node3node11_timber_t4,1006.42,B,C,timber,,4
C_node3node11_timber_t5,713.47,B,C,timber,,5
C_node3node11_wide_t0,5034.0,B,C,wide,,0
C_node3node11_wide_t1,4238.49,B,C,wide,,1
C_node3node11_wide_t2,3004.75,B,C,wide,,2
C_node3node11_wide_t3,2130.12,B,C,wide,,3
C_node3node11_wide_t4,1510.08,B,C,wide,,4
C_node3node11_wide_t5,1070.53,B,C,wide,,5
C_node3node50_timber_t0,0.0,B,C,timber,,0
C_node3node50_timber_t1,0.0,B,C,timber,,1
C_node3node50_timber_t2,0.0,B,C,timber,,2
C_node3node50_timber_t3,0.0,B,C,timber,,3
C_node3node50_timber_t4,0.0,B,C,timber,,4
C_node3node50_timber_t5,0.0,B,C,timber,,5
C_node3node50_wide_t0,0.0,B,C,wide,,0
C_node3node50_wide_t1,0.0,B,C,wide,,1
C_node3node50_wide_t2,0.0,B,C,wide,,2
C_node3node50_wide_t3,0.0,B,C,wide,,3
C_node3node50_wide_t4,0.0,B,C,wide,,4
C_node3node50_wide_t5,0.0,B,C,wide,,5
C_node3node51_timber_t0,0.0,B,C,timber,,0
C_node3node51_timber_t1,0.0,B,C,timber,,1
C_node3node51_timber_t2,0.0,B,C,timber,,2
C_node3node51_timber_t3,0.0,B,C,timber,,3
C_node3node51_timber_t4,0.0,B,C,timber,,4
C_node3node51_timber_t5,0.0,B,C,timber,,5
C_node3node51_wide_t0,0.0,B,C,wide,,0
C_node3node51_wide_t1,0.0,B,C,wide,,1
C_node3node51_wide_t2,0.0,B,C,wide,,2
C_node3node51_wide_t3,0.0,B,C,wide,,3
C_node3node51_wide_t4,0.0,B,C,wide,,4
C_node3node51_wide_t5,0.0,B,C,wide,,5
C_node4node16_timber_t0,2423.0,B,C,timber,,0
C_node4node16_timber_t1,2040.1,B,C,timber,,1
C_node4node16_timber_t2,1446.27,B,C,timber,,2
C_node4node16_timber_t3,1025.29,B,C,timber,,3
C_node4node16_timber_t4,726.84,B,C,timber,,4
C_node4node16_timber_t5,515.27,B,C,timber,,5
C_node4node16_wide_t0,3636.0,B,C,wide,,0
C_node4node16_wide_t1,3061.41,B,C,wide,,1
C_node4node16_wide_t2,2170.29,B,C,wide,,2
C_node4node16_wide_t3,1538.56,B,C,wide,,3
C_node4node16_wide_t4,1090.72,B,C,wide,,4
C_node4node16_wide_t5,773.23,B,C,wide,,5
C_node4node8_timber_t0,1463.0,B,C,timber,,0
C_node4node8_timber_t1,1231.81,B,C,timber,,1
C_node4node8_timber_t2,873.25,B,C,timber,,2
C_node4node8_timber_t3,619.06,B,C,timber,,3
C_node4node8_timber_t4,438.87,B,C,timber,,4
