Component ID,Stand
20_25_28_33_merged,OBJECTID
20_25_28_33_merged,TARGET_FID
20_25_28_33_merged,LandUse_1
20_25_28_33_merged,Ocupacao
20_25_28_33_merged,ID_UG
20_25_28_33_merged,NOME
20_25_28_33_merged,YY_correct
20_25_28_33_merged,XX_Correct
20_25_28_33_merged,Altitude
20_25_28_33_merged,Declive
20_25_28_33_merged,Litologia
20_25_28_33_merged,Relevo
20_25_28_33_merged,Uso
20_25_28_33_merged,Espessura
20_25_28_33_merged,Apt_flor
20_25_28_33_merged,Solo
20_25_28_33_merged,Classifica
20_25_28_33_merged,Perimetro
20_25_28_33_merged,Area
20_25_28_33_merged,Hectares
20_25_28_33_merged,UsoSolo20
20_25_28_33_merged,Shape_Leng
20_25_28_33_merged,Shape_Area
20_25_28_33_merged,HBC
20_25_28_33_merged,CH
20_25_28_33_merged,CBD
20_25_28_33_merged,CC
20_25_28_33_merged,geometry
20_25_28_33_merged,comp_id
